Name: Lorenzo, Condition: 2, Run: 12, Date: 10/7/2019 11:17:00 AM, Testing: True
time,userInput,disturbanceInput,angAcc,angVel,rollAngle
3.979997,-2.3271,-1.089399,-13.66599,-0.8591681,5.1113
3.989997,-2.225373,-1.034068,-13.03777,-0.9895457,5.101405
3.999997,-2.106692,-0.88299,-11.95873,-1.109133,5.090313
4.009997,-1.964274,-0.6369523,-10.40491,-1.213182,5.078182
4.019997,-1.822987,-0.2987808,-8.487072,-1.298053,5.065201
4.029997,-1.64553,0.1267618,-6.075074,-1.358804,5.051613
4.039998,-1.485028,0.6329919,-3.408143,-1.392885,5.037684
4.049998,-1.240884,1.211469,-0.1176605,-1.394062,5.023744
4.059998,-1.240884,1.852123,2.444957,-1.369612,5.010047
4.069998,-1.133505,2.543432,5.639708,-1.313215,4.996915
4.079998,-1.054384,3.272703,8.873274,-1.224482,4.984671
4.089999,-0.9989998,4.026199,12.1088,-1.103394,4.973637
4.099999,-0.9628302,4.789455,15.3065,-0.9503292,4.964133
4.109999,-0.9628302,5.547528,18.33879,-0.7669413,4.956464
4.119999,-0.9628302,6.285341,21.29004,-0.5540408,4.950923
4.13,-0.9628302,6.987864,24.10014,-0.3130395,4.947793
4.14,-0.9628302,7.640445,26.71046,-0.0459349,4.947334
4.15,-0.9628302,8.22912,29.06516,0.2447167,4.949781
4.16,-0.9628302,8.740808,31.11191,0.5558358,4.955339
4.170001,-0.9628302,9.16366,32.80332,0.8838689,4.964178
4.180001,-0.9628302,9.487208,34.09751,1.224844,4.976427
4.190001,-0.9628302,9.702575,34.95898,1.574434,4.992171
4.200001,-0.9628302,9.802709,35.35951,1.928029,5.011451
4.210001,-0.9628302,9.782478,35.27859,2.280815,5.034259
4.220002,-0.9628302,9.638815,34.70394,2.627854,5.060538
4.230002,-0.9628302,9.37073,33.6316,2.96417,5.090179
4.240002,-0.9628302,8.979443,32.06645,3.284834,5.123028
4.250002,-0.9142274,8.468278,30.2162,3.586996,5.158898
